-0.03,0.65,0.12
-0.08,0.48,-0.2
-0.04,0.52,0.02
0.36,0.74,0.24
0.05,0.61,0.31
0.49,0.34,0.14
0.05,0.61,0.31
0.47,0.15,0.1
0.49,0.34,0.14
-0.08,0.48,-0.2
0.21,0.42,-0.32
0.01,0.05,-0.37
0.21,0.42,-0.32
0.1,0.07,-0.38
0.01,0.05,-0.37
0.1,0.07,-0.38
0.21,0.42,-0.32
0.33,0.23,-0.37
0.05,0.61,0.31
0.36,0.74,0.24
0.03,0.67,0.29
0.06,0.31,0.18
0.05,0.61,0.31
0.03,0.67,0.29
0.13,-0.15,0.01
0.05,0.61,0.31
0.06,0.31,0.18
0.02,0.11,-0.12
-0.08,0.48,-0.2
0.03,-0.02,-0.19
-0.04,0.52,0.02
-0.08,0.48,-0.2
0.02,0.11,-0.12
0.03,-0.02,-0.19
-0.08,0.48,-0.2
0.02,-0.01,-0.25
0.01,0.05,-0.37
0.02,-0.01,-0.25
-0.08,0.48,-0.2
0.08,-0.12,-0.09
0.13,-0.15,0.01
0.1,-0.12,-0.04
0.36,0.74,0.24
0.49,0.34,0.14
0.68,0.03,0.02
0.68,0.03,0.02
0.49,0.34,0.14
0.47,0.15,0.1
0.69,0.01,0
0.59,0.31,0.06
0.68,0.03,0.02
0.68,0.03,0.02
0.59,0.31,0.06
0.36,0.74,0.24
0.14,0.06,0.1
0.05,0.61,0.31
0.13,-0.15,0.01
0.01,0.05,-0.37
0.1,0.07,-0.38
0.22,-0.02,-0.24
0.22,0.7,-0.2
0.38,0.71,-0.21
0.21,0.42,-0.32
0.21,0.42,-0.32
-0.08,0.48,-0.2
0.22,0.7,-0.2
0.36,0.74,0.24
0.38,0.71,-0.21
0.22,0.7,-0.2
0.03,0.67,0.29
0.36,0.74,0.24
0.22,0.7,-0.2
-0.03,0.65,0.12
0.03,0.67,0.29
0.22,0.7,-0.2
-0.04,0.58,-0.15
0.22,0.7,-0.2
-0.08,0.48,-0.2
0.1,0.07,-0.38
0.33,0.23,-0.37
0.56,0.08,-0.26
0.29,0.35,-0.33
0.38,0.71,-0.21
0.33,0.23,-0.37
0.21,0.42,-0.32
0.38,0.71,-0.21
0.29,0.35,-0.33
0.29,0.35,-0.33
0.33,0.23,-0.37
0.21,0.42,-0.32
0.69,0.01,0
0.68,0.03,0.02
0.68,-0.01,0
0.68,-0.01,0
0.54,-0.04,-0.04
0.6,0.04,-0.2
0.68,-0.01,0
0.68,0.03,0.02
0.47,0.15,0.1
0.06,0.31,0.18
0.03,0.67,0.29
-0.01,0.47,0.08
-0.04,0.52,0.02
-0.01,0.47,0.08
-0.03,0.65,0.12
0.06,0.31,0.18
0.05,0.25,0.12
0.13,-0.15,0.01
0.13,-0.15,0.01
0.05,0.25,0.12
0.1,-0.12,-0.04
-0.01,0.47,0.08
0.05,0.25,0.12
0.06,0.31,0.18
-0.04,0.52,0.02
0.1,-0.12,-0.04
0.05,0.25,0.12
-0.04,0.52,0.02
0.05,0.25,0.12
-0.01,0.47,0.08
0.03,-0.02,-0.19
0.06,-0.04,-0.1
0.02,0.11,-0.12
0.08,-0.12,-0.09
0.06,-0.04,-0.1
0.03,-0.02,-0.19
0.08,-0.12,-0.09
0.1,-0.12,-0.04
0.06,-0.04,-0.1
-0.04,0.52,0.02
0.06,-0.04,-0.1
0.1,-0.12,-0.04
0.02,0.11,-0.12
0.06,-0.04,-0.1
-0.04,0.52,0.02
0.13,-0.08,-0.15
0.08,-0.12,-0.09
0.07,-0.07,-0.18
0.07,-0.07,-0.18
0.22,-0.02,-0.24
0.13,-0.08,-0.15
0.01,0.05,-0.37
0.22,-0.02,-0.24
0.07,-0.07,-0.18
0.08,-0.12,-0.09
0.03,-0.02,-0.19
0.03,-0.03,-0.24
0.03,-0.03,-0.24
0.03,-0.02,-0.19
0.02,-0.01,-0.25
0.08,-0.12,-0.09
0.03,-0.03,-0.24
0.07,-0.07,-0.18
0.07,-0.07,-0.18
0.03,-0.03,-0.24
0.01,0.05,-0.37
0.03,-0.03,-0.24
0.02,-0.01,-0.25
0.01,0.05,-0.37
0.59,0.31,0.06
0.4,0.72,-0.08
0.36,0.74,0.24
0.4,0.72,-0.08
0.38,0.71,-0.21
0.36,0.74,0.24
0.47,0.15,0.1
0.18,0.32,0.19
0.14,0.06,0.1
0.14,0.06,0.1
0.18,0.32,0.19
0.05,0.61,0.31
0.18,0.32,0.19
0.47,0.15,0.1
0.05,0.61,0.31
0.68,-0.01,0
0.68,0.04,-0.08
0.69,0.01,0
-0.02,0.64,0.01
0.22,0.7,-0.2
-0.04,0.58,-0.15
0.22,0.7,-0.2
-0.02,0.64,0.01
-0.03,0.65,0.12
-0.04,0.58,-0.15
